GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Core,com.github.mmichaelis.describeme.core.config,DefaultStreamDescriberConfiguration,78,0,0,0,16,0,8,0,8,0
Core,com.github.mmichaelis.describeme.core.config,StreamDescriberConfiguration,6,0,0,0,3,0,3,0,3,0
Core,com.github.mmichaelis.describeme.core,Describe,0,64,0,0,0,19,0,8,0,8
Core,com.github.mmichaelis.describeme.core,DescriberIoException,0,5,0,0,0,2,0,1,0,1
Core,com.github.mmichaelis.describeme.core,DescriberProperties,24,19,0,0,6,7,1,2,1,2
Core,com.github.mmichaelis.describeme.core,RecursiveDescriptionConsumer,67,78,6,6,12,22,7,7,1,7
Core,com.github.mmichaelis.describeme.core,DefaultDescriber,0,39,0,6,0,8,0,7,0,4
Core,com.github.mmichaelis.describeme.core,AppendableUtil,0,56,0,4,0,12,0,4,0,2
Core,com.github.mmichaelis.describeme.core,EllipsisPredicate,30,79,1,9,9,18,2,6,1,2
Core,com.github.mmichaelis.describeme.core,Describer,18,12,1,1,2,4,1,2,0,2
Core,com.github.mmichaelis.describeme.core,RecursiveDescriber,0,25,0,0,0,6,0,3,0,3
Core,com.github.mmichaelis.describeme.core,RootDescriber,12,96,2,2,4,27,3,8,1,8
Core,com.github.mmichaelis.describeme.core,DescriberException,4,5,0,0,2,2,1,1,1,1
Core,com.github.mmichaelis.describeme.core,DescriberNotApplicableException,4,0,0,0,2,0,1,0,1,0
Core,com.github.mmichaelis.describeme.core,AbstractStreamDescriber,15,65,3,3,3,13,4,3,1,3
